,,,,,,Time Differences,,,,"Mean Spring, Neap and Sea Level Heights",,,,,,,,,,
,,Lat.,S.,Long.,E.,High Water,,Low Water,,,,(metres),,,Range,,,,,
No.,Port,°,´,°,´,Mean,Range,Mean,Range,MHWS,MHWN,MLWN,MLWS,MSL,Ratio,,,,,
6390d,Kerikeri,35,13,173,56,+0002,-0044 to +0049,+0018,-0028 to +0100,2.3,1.9,0.7,0.2,1.3,0.91,*,,,,
6391a,Opua,35,19,174,07,+0001,-0005 to +0009,0000,-0005 to +0010,2.6,2.1,0.8,0.4,1.4,0.96,,,,,
6391,Russell,35,16,174,07,0000,-0026 to +0025,+0004,-0023 to +0029,2.4,2.0,0.8,0.3,1.4,0.91,,,,,
6390b,Waitangi_2,35,16,174,05,+0022,-,+0022,-,2.3,2.0,0.6,0.4,1.4,0.83,*,,,,
,Coromandel Peninsula,,,,,,,,,,,,,,,,,,,
6409,Port Charles,36,31,175,28,-0039,-0059 to -0026,-0035,-0055 to -0021,2.3,1.9,0.6,0.1,1.2,0.96,,,,,
6408,Port Jackson,36,29,175,20,-0037,-0057 to -0020,-0032,-0053 to -0015,2.6,2.1,0.8,0.2,1.4,1.04,,,,,
,Great Mercury Island (Ahuahu),,,,,,,,,,,,,,,,,,,
6410,Huruhi Harbour,36,36,175,46,-0043,-0049 to -0036,-0039,-0046 to -0033,2.5,1.9,0.8,0.2,1.3,1.00,,,,,
,Great Barrier Island (Aotea Island),,,,,,,,,,,,,,,,,,,
6407a,Korotiti Bay,36,11,175,29,-0035,-0042 to -0024,-0030,-0037 to -0022,2.3,1.9,0.7,0.3,1.3,0.87,,,,,
6406,Nagle Cove,36,09,175,19,-0031,-0058 to -0011,-0027,-0053 to -0005,2.6,2.2,1.0,0.4,1.5,0.96,,,,,
6407,Tryphena,36,19,175,29,-0029,-0054 to -0004,-0025,-0048 to -0002,2.6,2.2,0.9,0.4,1.5,0.96,,,,,
,Houhora Harbour,,,,,,,,,,,,,,,,,,,
6387a,Houhora Harbour Entrance,34,50,173,09,+0019,+0003 to +0041,+0016,-0003 to +0037,2.6,2.2,0.9,0.5,1.5,0.91,,,,,
6387b,Pukenui Wharf,34,49,173,07,+0030,+0012 to +0100,+0030,+0012 to +0054,2.7,2.2,0.9,0.5,1.6,0.96,,,,,
,Kermadec Islands - Raoul  Island,,,,,,,,,,,,,,,,,,,
6537,Fishing Rock,29,15,177,55W,-0035,-0049 to -0022,-0032,-0052 to -0019,1.7,1.5,0.6,0.4,1.1,0.57,,,,,
6537a,Boat Cove,29,17,177,54W,-0034,-0051 to -0020,-0027,-0048 to -0013,1.7,1.5,0.7,0.4,1.1,0.57,,,,,
,Mokohinau Islands,,,,,,,,,,,,,,,,,,,
6396,Burgess Island (Pokohinu),35,54,175,07,-0024,-0054 to 0000,-0020,-0051 to +0002,2.5,2.1,0.9,0.4,1.5,0.91,,,,,
,Motukawanui Island,,,,,,,,,,,,,,,,,,,
6390a,Waiiti Bay,35,01,173,56,+0013,-,+0009,-,2.2,2.0,0.7,0.5,1.3,0.74,*,,,,
,Parengarenga Harbour,,,,,,,,,,,,,,,,,,,
6387,Ngatehe Point,34,31,172,55,+0140,-,+0145,-,2.5,2.1,0.7,0.4,1.4,0.91,*,,,,
6386b,Te Hapua,34,31,172,56,+0056,+0024 to +0125,+0059,+0030 to +0124,2.6,2.2,0.9,0.4,1.5,0.96,,,,,
,Rangaunu Harbour,,,,,,,,,,,,,,,,,,,
6388,Kotiatia Point,34,52,173,17,+0015,-,-0003,-,2.3,1.9,0.6,0.2,1.3,0.91,*,,,,
6388a,Omaia Island,35,00,173,16,-,-,-,-,2.3,2.0,0.5,0.2,1.3,0.91,*,,,,
,Whangaroa Harbour,,,,,,,,,,,,,,,,,,,
6390,Whangaroa,35,03,173,45,+0006,-0002 to +0017,+0010,+0003 to +0020,2.5,2.1,0.8,0.3,1.4,0.96,,,,,
,Whangaruru Harbour,,,,,,,,,,,,,,,,,,,
6392,Rocky Point,35,22,174,21,-,-,-,-,2.2,2.0,0.6,0.3,1.3,0.83,*,,,,
6391d,Tamateatai Point,35,21,174,20,+0013,-0011 to +0055,+0019,-0012 to + 0058,2.5,2.1,0.8,0.4,1.4,0.91,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6432,NAPIER,39,29,176,55,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,1.8,1.4,0.4,0.0,0.96,,,,,,
,Hawke Bay,,,,,,,,,,,,,,,,,,,
6432a,Cape Kidnappers,39,38,177,05,-0020,-,-0020,-,-,-,-,-,-,-,*,,,,
6428,Portland Island,39,17,177,52,-0015,-,-0015,-,-,-,-,-,-,-,*,,,,
6429,Waikokopu,39,04,177,50,+0005,-,+0005,-,1.6,1.5,0.4,0.2,0.9,0.78,*,,,,
6430,Wairoa River Mouth,39,03,177,26,0000,-,0000,-,1.6,1.5,0.3,0.2,0.9,0.78,*,,,,
,Wairarapa Coast,,,,,,,,,,,,,,,,,,,
6435,Akitio River Entrance,40,36,176,25,-0100,-,-0100,-,-,-,-,-,-,-,*,,,,
6432b,Bare Island (Motu o Kura),39,50,177,02,-0017,-,-0017,-,-,-,-,-,-,-,*,,,,
6434,Cape Turnagain,40,30,176,37,-0049,-,-0049,-,-,-,-,-,-,-,*,,,,
6436,Castlepoint,40,55,176,13,-0018,-0027 to -0011,-0018,-0027 to -0011,1.6,1.3,0.3,0.0,0.8,0.89,,,,,
6433a,Porangahau River Entrance,40,15,176,42,-0038,-,-0038,-,-,-,-,-,-,-,*,,,,
6433,Pourerere,40,06,176,52,-0030,-,-0030,-,-,-,-,-,-,-,*,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6458,NELSON,41,16,173,16,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,4.3,3.3,1.4,0.4,2.35,,,,,,
6464,Stephens Island (Takapourewa),40,40,174,00,-0030,-,-0030,-,2.8,2.3,1.1,0.6,1.7,0.56,*,,,,
,Golden Bay,,,,,,,,,,,,,,,,,,,
6453,Collingwood,40,40,172,40,-,-,-,-,4.7,3.8,1.4,0.5,2.6,1.08,*,,,,
6454,Motupipi Inlet,40,50,172,51,-,-,-,-,5.0,4.1,1.5,0.6,2.8,1.13,*,,,,
6452,Tarakohe,40,49,172,54,+0002,-0003 to +0015,+0008,+0004 to +0015,4.0,3.0,1.3,0.3,2.1,0.95,,,,,
,Marlborough Sounds,,,,,,,,,,,,,,,,,,,
6465,Catherine Cove,40,52,173,53,-0031,-0104 to +0005,-0032,-0105 to -0007,2.6,1.9,0.8,0.2,1.4,0.62,,,,,
6466a,Current Basin,40,56,173,50,-,-,-,-,3.9,3.1,1.4,0.6,2.3,0.85,*,,,,
6469,Elaine Bay,41,03,173,46,-0029,-0121 to +0011,-0040,-0142 to -0006,2.7,2.0,1.0,0.3,1.5,0.62,,,,,
6466,Elmslie Bay,40,56,173,51,-0033,-0202 to +0018,-0032,-0148 to +0006,3.1,2.2,1.4,0.6,1.8,0.64,,,,,
6471,Havelock,41,17,173,46,-0014,-0110 to +0009,-0033,-0118 to -0033,3.2,2.3,1.1,0.4,1.7,0.72,,,,,
6467,Pelorus Sound Entrance,40,55,173,59,-0100,-,-0120,-,2.8,2.2,1.1,0.5,1.6,0.59,*,,,,
6470,Portage,41,12,174,02,-0016,-0114 to +0015,-0044,-0146 to -0002,3.2,2.3,1.1,0.3,1.7,0.74,,,,,
6468,Whakatahuri,41,01,174,03,-0051,-0144 to +0029,-0043,-0147 to +0028,2.7,2.1,1.1,0.5,1.6,0.56,*,,,,
,Rangitoto ki te Tonga/D’Urville Island,,,,,,,,,,,,,,,,,,,
6462,Greville Harbour,40,52,173,48,-0020,-,-0020,-,3.8,2.9,1.5,0.6,2.2,0.82,*,,,,
,Tasman Bay,,,,,,,,,,,,,,,,,,,
6455,Astrolabe Roadstead,40,58,173,03,-,-,-,-,4.8,3.8,1.2,0.2,2.5,1.18,*,,,,
6460,Croisilles Harbour - Kotiro Point,41,05,173,39,-0018,-0122 to +0040,-0002,-0114 to +0055,3.6,3.0,1.2,0.7,2.1,0.74,*,,,,
6456,Kaiteriteri,41,03,173,01,+0001,-0005 to +0010,+0005,-0002 to +0011,3.9,2.9,1.3,0.3,2.1,0.92,,,,,
6455b,Mapua,41,15,173,06,+0019,-0008 to +0032,+0019,-0011 to +0039,4.1,3.3,1.6,0.6,2.4,0.90,*,,,,
6455a,Motueka,41,08,173,01,+0005,-0037 to +0036,+0019,-0040 to +0101,4.2,3.4,1.4,0.6,2.4,0.92,,,,,
